UF,regional,municipio,co_municipio,no_municipio
SP,ITAPETININGA,ANGATUBA,3502200,Angatuba
MG,SRE DIAMANTINA,ANGELÂNDIA,3102852,Angelândia
MS,CRE 9,Angélica,5000856,Angélica
PE,AGRESTE MERIDIONAL (GARANHUNS),Angelim,2601003,Angelim
SC,Coordenadoria Regional de Educação de Florianópolis,Angelina,4200903,Angelina
BA,11,Angical,2901403,Angical
PI,06ª,ANGICAL DO PIAUI,2200608,Angical do Piauí
TO,TOCANTINOPOLIS,Angico,1701051,Angico
RN,8,angicos,2400802,Angicos
RJ,SUL FLUMINENSE,Angra dos Reis,3300100,Angra dos Reis
BA,19,ANGUERA,2901502,Anguera
PR,MARINGA,ANGULO,4101150,Ângulo
GO,CRE-CATALÃO,ANHANGUERA,5201207,Anhanguera
SP,BOTUCATU,ANHEMBI,3502309,Anhembi
SP,PRESIDENTE PRUDENTE,ANHUMAS,3502408,Anhumas
GO,CRE-TRINDADE,ANICUNS,5201306,Anicuns
PI,13ª,ANISIO DE ABREU,2200707,Anísio de Abreu
SC,Coordenadoria Regional de Educação de Lages,Anita Garibaldi,4201000,Anita Garibaldi
SC,Coordenadoria Regional de Educação de Florianópolis,Anitápolis,4201109,Anitápolis
AM,Centro Amazonense,Anori,1300102,Anori
RS,3º CRE (Estrela),Anta Gorda,4300703,Anta Gorda
BA,17,Antas,2901601,Antas
PR,PARANAGUA,ANTONINA,4101200,Antonina
CE,CREDE 18,Antonina do Norte,2300804,Antonina do Norte
PI,11ª,ANTONIO ALMEIDA,2200806,Antônio Almeida
BA,19,ANTONIO CARDOSO,2901700,Antônio Cardoso
MG,SRE BARBACENA,ANTÔNIO CARLOS,3102902,Antônio Carlos
SC,Coordenadoria Regional de Educação de Florianópolis,Antônio Carlos,4201208,Antônio Carlos
MG,SRE CORONEL FABRICIANO,ANTÔNIO DIAS,3103009,Antônio Dias
BA,25,ANTONIO GONCALVES,2901809,Antônio Gonçalves
MS,CRE 11,Antônio João,5000906,Antônio João
RN,14,antonio martins,2400901,Antônio Martins
PR,UNIAO DA VITORIA,ANTONIO OLINTO,4101309,Antônio Olinto
RS,4º CRE (Caxias do Sul),Antônio Prado,4300802,Antônio Prado
MG,SRE MURIAÉ,ANTÔNIO PRADO DE MINAS,3103108,Antônio Prado de Minas
PB,Pombal,Aparecida,2500775,Aparecida
SP,GUARATINGUETA,APARECIDA,3502507,Aparecida
SP,JALES,APARECIDA D'OESTE,3502606,Aparecida d'Oeste
GO,CRE-APARECIDA,APARECIDA DE GOIÂNIA,5201405,Aparecida de Goiânia
GO,CRE-JATAI,APARECIDA DO RIO DOCE,5201454,Aparecida do Rio Doce
TO,PALMAS,Aparecida do Rio Negro,1701101,Aparecida do Rio Negro
MS,CRE 10,Aparecida do Taboado,5001003,Aparecida do Taboado
RJ,NOROESTE FLUMINENSE,Aperibé,3300159,Aperibé
ES,SRE Guaçuí,Apiacá,3200508,Apiacá
MT,ALTA FLORESTA,Apiacás,5100805,Apiacás
SP,APIAI,APIAI,3502705,Apiaí
MA,pinheiro,apicum-acu,2100832,Apicum-Açu
SC,Coordenadoria Regional de Educação de Ibirama,Apiúna,4201257,Apiúna
RN,13,apodi,2401008,Apodi
BA,18,APORA,2901908,Aporá
GO,CRE-JATAI,APORÉ,5201504,Aporé
BA,22,APUAREMA,2901957,Apuarema
PR,APUCARANA,APUCARANA,4101408,Apucarana
AM,Sul Amazonense,Apuí,1300144,Apuí
CE,CREDE 02,Apuiarés,2300903,Apuiarés
SE,DRE05,AQUIDABA,2800209,Aquidabã
MS,CRE 1,Aquidauana,5001102,Aquidauana
CE,CREDE 01,Aquiraz,2301000,Aquiraz
SC,Coordenadoria Regional de Educação de Seara,Arabutã,4201273,Arabutã
PB,Guarabira,Araçagi,2500809,Araçagi
MG,SRE SETE LAGOAS,ARAÇAÍ,3103207,Araçaí
SE,DEA,Aracaju,2800308,Aracaju
SP,SAO ROQUE,ARACARIGUAMA,3502754,Araçariguama
BA,18,ARACAS,2902054,Araçás
CE,CREDE 10,Aracati,2301109,Aracati
BA,20,ARACATU,2902005,Aracatu
SP,ARACATUBA,ARACATUBA,3502804,Araçatuba
BA,4,Araci,2902104,Araci
MG,SRE BARBACENA,ARACITABA,3103306,Aracitaba
CE,CREDE 08,Aracoiaba,2301208,Aracoiaba
PE,METROPOLITANA NORTE,Araçoiaba,2601052,Araçoiaba
SP,VOTORANTIM,ARACOIABA DA SERRA,3502903,Araçoiaba da Serra
ES,SRE Linhares,Aracruz,3200607,Aracruz
GO,CRE-INHUMAS,ARAÇU,5201603,Araçu
MG,SRE ARAÇUAÍ,ARAÇUAÍ,3103405,Araçuaí
GO,CRE-PIRANHAS,ARAGARÇAS,5201702,Aragarças
GO,CRE-APARECIDA,ARAGOIÂNIA,5201801,Aragoiânia
TO,ARAGUAINA,Aragominas,1701309,Aragominas
TO,PARAISO DO TOCANTINS,Araguacema,1701903,Araguacema
TO,GURUPI,Araguaçu,1702000,Araguaçu
MT,BARRA DO GARÇAS,Araguaiana,5101001,Araguaiana
TO,ARAGUAINA,Araguaína,1702109,Araguaína
MT,RONDONÓPOLIS,Araguainha,5101209,Araguainha
MA,ze doca,araguana,2100873,Araguanã
TO,ARAGUAINA,Araguanã,1702158,Araguanã
GO,CRE-GOIÁS,ARAGUAPAZ,5202155,Araguapaz
MG,SRE UBERLÂNDIA,ARAGUARI,3103504,Araguari
TO,ARAGUATINS,Araguatins,1702208,Araguatins
MA,chapadinha,araioses,2100907,Araioses
MS,CRE 11,Aral Moreira,5001243,Aral Moreira
BA,18,ARAMARI,2902203,Aramari
RS,12º CRE (Guaíba),Arambaré,4300851,Arambaré
MA,barra do corda,arame,2100956,Arame
SP,SAO JOAQUIM DA BARRA,ARAMINA,3503000,Aramina
SP,AVARE,ARANDU,3503109,Arandu
MG,SRE JUIZ DE FORA,ARANTINA,3103603,Arantina
SP,GUARATINGUETA,ARAPEI,3503158,Arapeí
AL,5a GEE,Arapiraca,2700300,Arapiraca
TO,COLINAS DO TOCANTINS,Arapoema,1702307,Arapoema
MG,SRE PONTE NOVA,ARAPONGA,3103702,Araponga
PR,APUCARANA,ARAPONGAS,4101507,Arapongas
MG,SRE UBERLÂNDIA,ARAPORÃ,3103751,Araporã
PR,WENCESLAU BRAZ,ARAPOTI,4101606,Arapoti
MG,SRE PATOS DE MINAS,ARAPUÁ,3103801,Arapuá
PR,IVAIPORA,ARAPUA,4101655,Arapuã
MT,CÁCERES,Araputanga,5101258,Araputanga
SC,Coordenadoria Regional de Educação de Joinville,Araquari,4201307,Araquari
PB,Campina Grande,Arara,2500908,Arara
SC,Coordenadoria Regional de Educação de Araranguá,Araranguá,4201406,Araranguá
SP,ARARAQUARA,ARARAQUARA,3503208,Araraquara
SP,PIRASSUNUNGA,ARARAS,3503307,Araras
CE,CREDE 13,Ararendá,2301257,Ararendá
MA,viana,arari,2101004,Arari
RS,2º CRE (São Leopoldo),Araricá,4300877,Araricá
CE,CREDE 18,Araripe,2301307,Araripe
PE,SERTÃO DO ARARIPE (ARARIPINA),Araripina,2601102,Araripina
RJ,BAIXADAS LITÔRANEAS,Araruama,3300209,Araruama
PB,Guarabira,Araruna,2501005,Araruna
PR,CAMPO MOURAO,ARARUNA,4101705,Araruna
BA,5,Arataca,2902252,Arataca
RS,15º CRE (Erechim),Aratiba,4300901,Aratiba
CE,CREDE 08,Aratuba,2301406,Aratuba
BA,6,Aratuípe,2902302,Aratuípe
SE,DRE01,ARAUA,2800407,Arauá
PR,AREA METROPOLITANA SUL,ARAUCARIA,4101804,Araucária
MG,SRE DIVINÓPOLIS,ARAÚJOS,3103900,Araújos
MG,SRE UBERABA,ARAXÁ,3104007,Araxá
MG,SRE SÃO SEBASTIÃO DO PARAÍSO,ARCEBURGO,3104106,Arceburgo
SP,TUPA,ARCO-IRIS,3503356,Arco-Íris
MG,SRE DIVINÓPOLIS,ARCOS,3104205,Arcos
PE,SERTÃO DO MOXOTÓ IPANEMA (ARCOVERDE),Arcoverde,2601201,Arcoverde
MG,SRE POÇOS DE CALDAS,AREADO,3104304,Areado
RJ,SERRANA I,Areal,3300225,Areal
SP,BAURU,AREALVA,3503406,Arealva
PB,Campina Grande,Areia,2501104,Areia
RN,12,areia branca,2401107,Areia Branca
SE,DRE03,AREIA BRANCA,2800506,Areia Branca
PB,Patos,Areia de Baraúnas,2501153,Areia de Baraúnas
PB,Campina Grande,Areial,2501203,Areial
SP,GUARATINGUETA,AREIAS,3503505,Areias
SP,BOTUCATU,AREIOPOLIS,3503604,Areiópolis
MT,DIAMANTINO,Arenápolis,5101308,Arenápolis
GO,CRE-PIRANHAS,ARENÓPOLIS,5202353,Arenópolis
RN,2,Arês,2401206,Arês
MG,SRE LEOPOLDINA,ARGIRITA,3104403,Argirita
MG,SRE DIAMANTINA,ARICANDUVA,3104452,Aricanduva
MG,SRE UNAÍ,ARINOS,3104502,Arinos
MT,JUINA,Aripuanã,5101407,Aripuanã
RO,ARIQUEMES,Ariquemes,1100023,Ariquemes
SP,CATANDUVA,ARIRANHA,3503703,Ariranha
PR,IVAIPORA,ARIRANHA DO IVAI,4101853,Ariranha do Ivaí
RJ,BAIXADAS LITÔRANEAS,Armação dos Búzios,3300233,Armação dos Búzios
SC,Coordenadoria Regional de Educação de Braço do Norte,Armazém,4201505,Armazém
CE,CREDE 15,Arneiroz,2301505,Arneiroz
PI,07ª,AROAZES,2200905,Aroazes
PB,Campina Grande,Aroeiras,2501302,Aroeiras
PI,09ª,AROEIRAS DO ITAIM,2200954,Aroeiras do Itaim
PI,06ª,ARRAIAL,2201002,Arraial
RJ,BAIXADAS LITÔRANEAS,Arraial do Cabo,3300258,Arraial do Cabo
TO,ARRAIAS,Arraias,1702406,Arraias
RS,3º CRE (Estrela),Arroio do Meio,4301008,Arroio do Meio
RS,5º CRE (Pelotas),Arroio do Padre,4301073,Arroio do Padre
RS,11º CRE (Osório),Arroio do Sal,4301057,Arroio do Sal
RS,24º CRE (Cachoeira do Sul),Arroio do Tigre,4301206,Arroio do Tigre
RS,12º CRE (Guaíba),Arroio dos Ratos,4301107,Arroio dos Ratos
RS,5º CRE (Pelotas),Arroio Grande,4301305,Arroio Grande
SC,Coordenadoria Regional de Educação de Videira,Arroio Trinta,4201604,Arroio Trinta
SP,LIMEIRA,ARTUR NOGUEIRA,3503802,Artur Nogueira
GO,CRE-GOIÁS,ARUANÃ,5202502,Aruanã
SP,JACAREI,ARUJA,3503901,Arujá
SC,Coordenadoria Regional de Educação de Seara,Arvoredo,4201653,Arvoredo
RS,25º CRE (Soledade),Arvorezinha,4301404,Arvorezinha
SC,Coordenadoria Regional de Educação de Timbó,Ascurra,4201703,Ascurra
SP,JALES,ASPASIA,3503950,Aspásia
PR,CORNELIO PROCOPIO,ASSAI,4101903,Assaí
CE,CREDE 18,Assaré,2301604,Assaré
SP,ASSIS,ASSIS,3504008,Assis
AC,ALTO ACRE,ASSIS BRASIL,1200054,Assis Brasil
PR,ASSIS CHATEAUBRIAND,ASSIS CHATEAUBRIAND,4102000,Assis Chateaubriand
PB,Campina Grande,Assunção,2501351,Assunção
PI,05ª,ASSUNCAO DO PIAUI,2201051,Assunção do Piauí
MG,SRE UBÁ,ASTOLFO DUTRA,3104601,Astolfo Dutra
PR,MARINGA,ASTORGA,4102109,Astorga
AL,4a GEE,Atalaia,2700409,Atalaia
PR,MARINGA,ATALAIA,4102208,Atalaia
AM,Sudoeste Amazonense,Atalaia do Norte,1300201,Atalaia do Norte
SC,Coordenadoria Regional de Educação de Ituporanga,Atalanta,4201802,Atalanta
MG,SRE TEÓFILO OTONI,ATALÉIA,3104700,Ataléia
SP,BRAGANCA PAULISTA,ATIBAIA,3504107,Atibaia
ES,SRE Cachoeiro de Itapemirim,Atílio Vivácqua,3200706,Atílio Vivácqua
TO,ARAGUATINS,Augustinópolis,1702554,Augustinópolis
PA,Bragança,augusto corrêa,1500909,Augusto Corrêa
MG,SRE CURVELO,AUGUSTO DE LIMA,3104809,Augusto de Lima
RS,36º CRE (Ijuí),Augusto Pestana,4301503,Augusto Pestana
RS,15º CRE (Erechim),Áurea,4301552,Áurea
BA,5,Aurelino Leal,2902401,Aurelino Leal
SP,JALES,AURIFLAMA,3504206,Auriflama
GO,CRE-SÃO L. M. BELOS,AURILÂNDIA,5202601,Aurilândia
CE,CREDE 20,Aurora,2301703,Aurora
